year 01 02 03 04 05 06 07 08 09 10 11 12
1937 10051 10078 10061 10091 10119 10122 10135 10125 10125 10108 10081 10064
1938 10051 10058 10081 10091 10098 10115 10119 10115 10119 10108 10078 10068
1939 10047 10058 10064 10091 10112 10125 10129 10115 10132 10115 10091 10091
1940 10058 10064 10088 10108 10122 10139 10142 10142 10142 10139 10095 10098
1941 10078 10097 10087 10106 10112 10137 10154 10145 10127 10119 10092 10088
1942 10085 10063 10086 10103 10098 10118 10132 10121 10111 10095 10083 10067
1943 10063 10049 10074 10088 10108 10131 10126 10120 10111 10097 10084 10077
1944 10072 10067 10076 10102 10116 10131 10140 10135 10124 10113 10090 10063
1945 10065 10064 10058 10103 10113 10118 10134 10122 10119 10111 10093 10072
1946 10063 10055 10086 10104 10116 10132 10138 10134 10127 10118 10092 10073
1947 10075 10063 10070 10096 10124 10126 10132 10116 10115 10106 10082 10067
1948 10073 10065 10076 10090 10108 10127 10123 10122 10122 10104 10076 10077
1949 10073 10056 10062 10101 10111 10135 10130 10134 10118 10098 10090 10052
1950 10047 10043 10065 10077 10099 10107 10121 10120 10117 10095 10065 10044
1951 10053 10051 10070 10094 10119 10112 10133 10132 10125 10114 10095 10089
1952 10067 10071 10083 10103 10103 10125 10130 10126 10121 10099 10077 10084
1953 10069 10073 10080 10089 10131 10125 10139 10130 10132 10108 10094 10081
1954 10049 10073 10077 10077 10101 10123 10124 10118 10119 10107 10091 10065
1955 10083 10037 10067 10089 10094 10109 10117 10114 10109 10093 10076 10076
1956 10048 10047 10069 10083 10091 10113 10112 10115 10114 10097 10087 10056
1957 10065 10064 10078 10095 10123 10125 10129 10133 10131 10115 10098 10077
1958 10085 10071 10081 10089 10109 10116 10124 10116 10115 10096 10091 10083
1959 10061 10087 10069 10089 10104 10128 10135 10131 10119 10105 10077 10061
1960 10065 10067 10071 10085 10100 10125 10125 10125 10105 10107 10087 10072
1961 10073 10064 10095 10092 10112 10129 10131 10131 10121 10104 10093 10069
1962 10051 10074 10084 10097 10102 10117 10123 10135 10112 10098 10083 10074
1963 10060 10080 10067 10087 10104 10134 10136 10124 10128 10123 10105 10091
1964 10073 10071 10071 10092 10105 10120 10121 10122 10105 10095 10079 10077
1965 10064 10058 10069 10114 10111 10141 10156 10137 10134 10125 10104 10067
1966 10075 10069 10087 10100 10123 10133 10130 10127 10121 10113 10090 10077
1967 10051 10057 10073 10107 10111 10125 10128 10128 10129 10109 10089 10079
1968 10041 10051 10083 10098 10096 10123 10127 10128 10123 10111 10099 10074
1969 10058 10065 10084 10110 10111 10127 10136 10135 10119 10115 10092 10070
1970 10083 10072 10072 10101 10107 10119 10139 10120 10102 10088 10074 10054
1971 10058 10045 10060 10080 10104 10130 10125 10117 10108 10095 10083 10058
1972 10058 10051 10067 10106 10124 10128 10138 10138 10137 10126 10098 10096
1973 10073 10083 10074 10090 10108 10110 10124 10115 10114 10096 10058 10066
1974 10040 10044 10055 10088 10110 10124 10127 10121 10110 10097 10078 10065
1975 10065 10069 10066 10078 10104 10114 10118 10113 10105 10089 10082 10056
1976 10051 10054 10056 10099 10120 10125 10142 10141 10130 10100 10077 10065
1977 10058 10056 10081 10092 10113 10135 10136 10136 10130 10123 10100 10081
1978 10082 10089 10095 10101 10093 10111 10113 10119 10116 10107 10095 10074
1979 10060 10069 10079 10097 10112 10126 10146 10133 10117 10110 10091 10085
1980 10059 10063 10072 10097 10113 10125 10132 10134 10127 10107 10091 10073
1981 10051 10062 10099 10099 10105 10115 10118 10124 10115 10111 10084 10075
