year,month,mslp_anomaly,mslp_standardised,soi
1978,09,0.1,0.1,0.1
1978,10,-0.6,-0.4,-0.4
1978,11,-0.0,-0.0,-0.0
1978,12,-0.1,-0.1,-0.1
1979,01,-0.7,-0.4,-0.4
1979,02,1.6,1.0,1.0
1979,03,0.2,0.1,0.1
1979,04,-0.2,-0.1,-0.1
1979,05,0.8,0.5,0.5
1979,06,1.1,0.6,0.6
1979,07,2.2,1.3,1.3
1979,08,-0.3,-0.2,-0.2
1979,09,0.2,0.1,0.1
1979,10,-0.2,-0.1,-0.1
1979,11,-0.7,-0.4,-0.4
1979,12,-1.2,-0.7,-0.7
1980,01,0.7,0.4,0.4
1980,02,0.5,0.3,0.3
1980,03,-0.7,-0.4,-0.4
1980,04,-1.0,-0.6,-0.6
1980,05,-0.0,-0.0,-0.0
1980,06,-0.0,-0.0,-0.0
1980,07,-0.1,-0.0,-0.0
1980,08,0.6,0.4,0.4
1980,09,-0.8,-0.5,-0.5
1980,10,0.0,0.0,0.0
1980,11,-0.6,-0.3,-0.3
1980,12,-0.1,-0.1,-0.1
1981,01,0.6,0.4,0.4
1981,02,-0.3,-0.2,-0.2
1981,03,-2.1,-1.3,-1.3
1981,04,-0.2,-0.1,-0.1
1981,05,1.3,0.8,0.8
1981,06,2.0,1.2,1.2
1981,07,1.4,0.8,0.8
1981,08,1.2,0.7,0.7
1981,09,0.5,0.3,0.3
1981,10,-0.6,-0.4,-0.4
1981,11,0.3,0.2,0.2
1981,12,0.8,0.5,0.5
1982,01,2.0,1.2,1.2
1982,02,0.4,0.3,0.3
1982,03,1.0,0.6,0.6
1982,04,0.1,0.1,0.1
1982,05,-0.6,-0.3,-0.3
1982,06,-1.7,-1.0,-1.0
1982,07,-2.5,-1.5,-1.5
1982,08,-2.9,-1.7,-1.7
1982,09,-2.9,-1.7,-1.7
1982,10,-2.8,-1.7,-1.7
1982,11,-4.3,-2.6,-2.6
1982,12,-3.7,-2.2,-2.2
1983,01,-5.8,-3.5,-3.5
1983,02,-6.0,-3.6,-3.6
1983,03,-4.0,-2.4,-2.4
1983,04,-1.5,-0.9,-0.9
1983,05,1.0,0.6,0.6
1983,06,0.1,0.0,0.0
1983,07,-1.0,-0.6,-0.6
1983,08,0.2,0.1,0.1
1983,09,1.4,0.9,0.9
1983,10,0.7,0.4,0.4
1983,11,-0.2,-0.1,-0.1
1983,12,0.0,0.0,0.0
1984,01,0.3,0.2,0.2
1984,02,1.4,0.9,0.9
1984,03,-0.4,-0.2,-0.2
1984,04,0.6,0.3,0.3
1984,05,0.3,0.2,0.2
1984,06,-0.6,-0.3,-0.3
1984,07,0.3,0.2,0.2
1984,08,0.7,0.4,0.4
1984,09,0.2,0.1,0.1
1984,10,-0.5,-0.3,-0.3
1984,11,0.4,0.3,0.3
1984,12,-0.2,-0.1,-0.1
1985,01,-0.5,-0.3,-0.3
1985,02,2.0,1.2,1.2
