year,month,soi
1986,08,-0.853
1986,09,-0.529
1986,10,0.535
1986,11,-1.573
1986,12,-1.64
1987,01,-0.755
1987,02,-1.409
1987,03,-2.026
1987,04,-2.692
1987,05,-2.116
1987,06,-2.687
1987,07,-1.816
1987,08,-1.667
1987,09,-1.128
1987,10,-0.691
1987,11,-0.074
1987,12,-0.664
1988,01,-0.313
1988,02,-0.645
1988,03,0.126
1988,04,-0.035
1988,05,1.088
1988,06,-0.2
1988,07,1.166
1988,08,1.362
1988,09,1.919
1988,10,1.346
1988,11,1.92
1988,12,1.089
1989,01,1.314
1989,02,0.802
1989,03,0.589
1989,04,2.18
1989,05,1.447
1989,06,0.812
1989,07,0.948
1989,08,-0.821
1989,09,0.517
1989,10,0.61
1989,11,-0.381
1989,12,-0.619
1990,01,-0.214
1990,02,-1.785
1990,03,-1.088
1990,04,-0.013
1990,05,1.411
1990,06,-0.067
1990,07,0.572
1990,08,-0.707
1990,09,-0.779
1990,10,-0.171
1990,11,-0.683
1990,12,-0.382
1991,01,0.445
1991,02,-0.057
1991,03,-1.35
1991,04,-1.553
1991,05,-1.744
1991,06,-0.792
1991,07,-0.072
1991,08,-1.066
1991,09,-1.643
1991,10,-1.55
1991,11,-0.769
1991,12,-2.018
1992,01,-2.849
1992,02,-1.046
1992,03,-2.849
1992,04,-2.059
1992,05,0.059
1992,06,-1.823
1992,07,-0.629
1992,08,-0.011
1992,09,0.064
1992,10,-2.03
1992,11,-0.844
1992,12,-0.714
1993,01,-0.931
1993,02,-0.958
1993,03,-1.126
1993,04,-2.291
1993,05,-0.593
1993,06,-2.176
1993,07,-1.06
1993,08,-1.726
1993,09,-0.78
1993,10,-1.568
1993,11,-0.132
1993,12,0.075
1994,01,-0.251
1994,02,-0.057
1994,03,-1.348
1994,04,-2.629
1994,05,-1.264
1994,06,-1.463
1994,07,-1.703
1994,08,-2.033
1994,09,-1.704
1994,10,-1.582
1994,11,-0.806
1994,12,-1.411
1995,01,-0.509
1995,02,-0.345
1995,03,0.236
1995,04,-1.722
1995,05,-0.914
1995,06,-0.308
1995,07,0.437
1995,08,-0.105
1995,09,0.281
1995,10,-0.335
1995,11,-0.016
1995,12,-0.716
1996,01,0.816
1996,02,-0.022
1996,03,0.527
1996,04,0.915
1996,05,0.465
1996,06,1.596
1996,07,0.695
1996,08,0.325
1996,09,0.656
1996,10,0.258
1996,11,-0.207
1996,12,0.708
1997,01,0.293
1997,02,1.207
1997,03,-1.095
1997,04,-1.553
1997,05,-2.408
1997,06,-3.016
1997,07,-0.905
1997,08,-2.306
1997,09,-1.552
1997,10,-1.685
1997,11,-1.311
1997,12,-1.122
1998,01,-2.527
1998,02,-1.975
1998,03,-3.312
1998,04,-2.797
1998,05,0.173
1998,06,1.053
1998,07,1.488
1998,08,0.825
1998,09,1.036
1998,10,1.005
1998,11,1.005
1998,12,1.322
1999,01,1.583
1999,02,0.575
1999,03,0.785
1999,04,2.096
1999,05,0.436
1999,06,0.004
1999,07,0.517
1999,08,-0.029
1999,09,-0.072
1999,10,0.946
1999,11,1.221
1999,12,1.37
2000,01,0.471
2000,02,1.236
2000,03,0.882
2000,04,1.758
2000,05,0.415
2000,06,-0.872
2000,07,-0.345
2000,08,0.484
2000,09,0.973
2000,10,0.866
2000,11,2.019
2000,12,0.774
2001,01,0.78
2001,02,1.002
2001,03,0.46
2001,04,-0.182
2001,05,-0.836
2001,06,-0.195
2001,07,-0.27
2001,08,-1.014
2001,09,0.112
2001,10,-0.376
2001,11,0.638
2001,12,-1.055
2002,01,0.202
2002,02,0.644
2002,03,-0.807
2002,04,-0.477
2002,05,-1.543
2002,06,-1.023
2002,07,-0.696
2002,08,-1.622
2002,09,-0.658
2002,10,-0.787
2002,11,-0.595
2002,12,-1.296
2003,01,-0.305
2003,02,-0.899
2003,03,-0.915
2003,04,-0.477
2003,05,-0.849
2003,06,-1.751
2003,07,0.258
2003,08,-0.348
2003,09,-0.183
2003,10,-0.265
2003,11,-0.318
2003,12,0.924
2004,01,-1.307
2004,02,0.774
2004,03,-0.108
2004,04,-1.912
2004,05,1.217
2004,06,-1.908
2004,07,-0.715
2004,08,-0.9
2004,09,-0.314
2004,10,-0.423
2004,11,-1.055
2004,12,-0.938
2005,01,0.205
2005,02,-2.99
2005,03,-0.265
2005,04,-1.216
2005,05,-1.458
2005,06,0.105
2005,07,0.057
2005,08,-0.972
2005,09,0.339
2005,10,1.117
2005,11,-0.418
2005,12,0.012
2006,01,1.294
2006,02,-0.115
2006,03,1.319
2006,04,1.168
2006,05,-0.957
2006,06,-0.976
2006,07,-0.899
2006,08,-1.754
2006,09,-0.604
2006,10,-1.515
2006,11,0.051
2006,12,-0.394
2007,01,-0.829
2007,02,-0.378
2007,03,-0.305
2007,04,-0.351
2007,05,-0.299
2007,06,0.138
2007,07,-0.443
2007,08,0.008
2007,09,0.117
2007,10,0.44
2007,11,0.819
2007,12,1.488
2008,01,1.535
2008,02,2.048
2008,03,1.04
2008,04,0.556
2008,05,-0.25
2008,06,0.34
2008,07,0.195
2008,08,0.637
2008,09,1.264
2008,10,1.522
2008,11,1.643
2008,12,1.427
2009,01,0.847
2009,02,1.375
2009,03,-0.208
2009,04,1.062
2009,05,-0.862
2009,06,-0.447
2009,07,0.184
2009,08,-0.59
2009,09,0.351
2009,10,-1.664
2009,11,-0.675
2009,12,-0.947
2010,01,-1.126
2010,02,-1.589
2010,03,-1.399
2010,04,1.885
2010,05,0.853
2010,06,0.236
2010,07,1.953
2010,08,1.77
2010,09,2.436
2010,10,1.796
2010,11,1.623
2010,12,2.904
2011,01,2.005
2011,02,2.116
2011,03,2.086
2011,04,3.024
2011,05,0.465
2011,06,-0.04
2011,07,1.111
2011,08,0.065
2011,09,1.137
2011,10,0.905
2011,11,1.412
2011,12,2.454
2012,01,0.896
2012,02,0.219
2012,03,0.196
2012,04,-0.646
2012,05,-0.385
2012,06,-1.507
2012,07,-0.152
2012,08,-0.744
2012,09,0.22
2012,10,0.17
2012,11,0.328
2012,12,-0.775
2013,01,-0.104
2013,02,-0.473
2013,03,1.064
2013,04,0.008
2013,05,0.903
2013,06,1.453
2013,07,0.764
2013,08,-0.227
2013,09,0.405
2013,10,-0.337
2013,11,0.749
2013,12,-0.046
2014,01,1.187
2014,02,-0.325
2014,03,-1.698
2014,04,0.809
2014,05,0.723
2014,06,-0.459
2014,07,-0.256
2014,08,-1.424
2014,09,-0.658
2014,10,-0.862
2014,11,-0.96
2014,12,-0.659
2015,01,-0.866
2015,02,-0.042
2015,03,-1.396
2015,04,-0.267
2015,05,-1.044
2015,06,-1.715
2015,07,-1.414
2015,08,-2.147
2015,09,-1.65
2015,10,-1.912
2015,11,-0.633
2015,12,-0.997
2016,01,-2.122
2016,02,-2.094
2016,03,-0.755
2016,04,-2.608
2016,05,0.216
2016,06,0.441
2016,07,0.448
2016,08,0.404
2016,09,1.278
2016,10,-0.66
2016,11,-0.227
2016,12,0.19
2017,01,0.077
2017,02,-0.328
2017,03,0.409
2017,04,-0.752
2017,05,0.23
2017,06,-1.392
2017,07,0.847
2017,08,0.167
2017,09,0.622
2017,10,0.753
2017,11,0.935
2017,12,-0.265
2018,01,0.915
2018,02,-0.731
2018,03,1.028
2018,04,0.577
2018,05,0.558
2018,06,-0.744
2018,07,0.175
2018,08,-0.87
2018,09,-0.992
2018,10,0.267
2018,11,-0.082
2018,12,0.926
2019,01,-0.16
2019,02,-1.434
2019,03,-0.913
2019,04,-0.035
2019,05,-0.715
2019,06,-1.356
2019,07,-0.512
2019,08,-0.702
2019,09,-1.261
2019,10,-0.664
2019,11,-1.03
2019,12,-0.727
2020,01,0.01
2020,02,-0.314
2020,03,-0.75
2020,04,0.155
2020,05,0.707
2020,06,-1.359
2020,07,0.437
2020,08,0.847
2020,09,0.98
2020,10,0.271
2020,11,0.853
2020,12,1.763
2021,01,1.64
2021,02,1.017
2021,03,-0.197
2021,04,0.303
2021,05,0.487
2021,06,0.224
2021,07,1.614
2021,08,0.273
2021,09,0.858
2021,10,0.512
2021,11,1.118
2021,12,1.427
2022,01,0.338
2022,02,0.757
2022,03,1.353
2022,04,2.686
2022,05,1.904
2022,06,2.449
2022,07,0.91
2022,08,0.805
2022,09,1.734
2022,10,1.725
2022,11,0.311
2022,12,2.111
